"Short Name","Title","Product Description"
PTGRSGM,Patent grant full text data/SGML,Contains (JAN 2001 - DEC 2001) the full text of each patent grant issued weekly (Tuesdays) in CY2001 (excludes images/drawings and reexaminations). The file format is Standard Generalized Markup Language (SGML) in accordance with the U.S. Patent Grant Version 2.4 Document Type Definition (DTD).
PTGRMP2,Patent grant multi-page PDF images,"Contains the images of each patent grant issued weekly (Tuesdays) from July 31, 1790 to present in Portable Document Format (PDF) created from the Patent Grant Single-Page TIFF Images. Also included are older grants that have new Certificates-of-Correction (C-of-C) and rescanned images of older patent grants. Each weekly file contains approx. 6,000 patent grants. Approx. 9 GB (compressed) per week."
SPTIFF,Patent grant single-page TIFF images,"Contains the images of each patent grant issued weekly (Tuesdays) from July 31, 1790 to present in Tagged Image File Format (TIFF) Revision 6.0 with CCITT Group 4 Compression (single-page TIFFs). Includes a separate weekly Certificates-of-Correction (C-of-C) file and a daily Certificates file."
PTADJ,Patent term adjustments,"The Patent Term Adjustment (PTA) statute at issue is 35 USC 154(b)(2)(c), which provides for a deduction from any PTA award ""equal to the period of time during which the applicant failed to engage in reasonable efforts to conclude prosecution of the application."" The statute also expressly delegates to the USPTO the authority to ""prescribe regulations establishing the circumstances that constitute a failure of an applicant to engage in reasonable efforts to conclude processing or examination of an application."""
REPLACM,Replacement images,"These documents replace the original data disseminated by the Electronic Information Products Division (EIPD). For more information on the data, contact ipd@uspto.gov (link sends e-mail)."
COFC,Certificates of Correction,"Certificates-of-Correction (C-of-C) File (2010 - present) contains a listing of all Certificates of Correction for US patent documents and lists the following fields: Document Number; Publication Date; and Kind of Document Code (always ""X6""). Layout information for the Certificates of Correction File is provided and additional information regarding Certificates of Correction can be found on the list at the following location https://www.uspto.gov/patents-getting-started/general-information-concerning-patents#heading-26"
REEXAM,Reexaminations,These historical statistics are data for requests for reexamination filed since 7/1/1981 (for ex parte) or since 11/29/1999 (for inter partes). They are updated weekly.
CERTS,Certificates,"Certificates include post issuance documents, e.g., ex parte and inter partes reexamination documents. These were weekly and are daily starting on Ocotober of 2012."
RESCANS,Rescans,Bnnnnn.tar: Rescans of miscellaneous documents from miscellaneous years (1790 - present). The filename relates to the Digital Linear Tape (DLT) cartridge.
PTLITIG,Patent Litigation data (stata (.dta) and MS Excel (.csv)),"Contains detailed U.S. District Courts patent litigation data on 74,623 unique court cases filed during the period 1963 - 2016. The data was collected from the Public Access to Court Electronic Records (PACER) and RECAP as sources for all of the content. The final output datasets, provided in five different files, include information on the litigating parties involved and their attorneys; the cause of action; the court location; important dates in the litigation history; and, covering over 5 million document level information from the docket reports, descriptions of all documents submitted in a given case."
APPDT,Patent application data/XML,"Contains (MAR 15, 2001 - present) the full text, images/drawings, and complex work units (tables, mathematical expressions, chemical structures, and genetic sequence data) of each patent application (non-provisional utility and plant) published weekly (Thursdays). The file format is eXtensible Markup Language (XML) in accordance with the Patent Application Version 4.4 International Common Element (ICE) Document Type Definition (DTD)."
APPBLXML,Patent application bibliographic data/XML,"Contains (MAR 15, 2001 - present) the bibliographic text (front page) of each patent application (non-provisional utility and plant) published weekly (Thursdays) (excludes images/drawings). The file format is eXtensible Markup Language (XML) in accordance with the Patent Application Version 4.4 International Common Element (ICE) Document Type Definition (DTD)."
APPXML,Patent application full text data/XML,"Contains (MAR 15, 2001 - present) the full text of each patent application (non-provisional utility and plant) published weekly (Thursdays) (excludes images/drawings). The file format is eXtensible Markup Language (XML) in accordance with the Patent Application Version 4.4 International Common Element (ICE) Document Type Definition (DTD)."
APPMP2,Patent application multi-page PDF images,"Contains the images of each patent application (non-provisional utility and plant) published weekly (Thursdays) from March 15, 2001 to present in Portable Document Format (PDF) created from the Patent Application Single-Page TIFF Images. Each weekly file contains approx. 6,000 patent applications. Approx. 11 GB (compressed) per week."
APPSP2,Patent application single-page TIFF images,"Contains the images of each patent application (non-provisional utility and plant) published weekly (Thursdays) from March 15, 2001 to present in Tagged Image File Format (TIFF) Revision 6.0 with CCITT Group 4 Compression (single-page TIFFs). Each weekly file contains approximately 6,000 published patent applications."
HISTEXC,Historical patent data files (stata (.dta) and MS excel (.csv)),"Contains four research datasets containing time series and micro-level data by National Bureau of Economic Research (NBER) technology sub-category on applications, grants, and in-force patents spanning two centuries of innovation. For more information:  https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets"
HISTMST,Historical masterfile,"The historical_masterfile contains micro-level application, NBER sub-category, and prosecution data on 2.2 million patent applications filed from 1981 to 2015 and 8.9 million patents issued through 2014."
OUTMN,Monthly,"The monthly file contains a monthly count of applications, issued patents, and in-force patents by application status, disposal type (abandoned, issued, or pending), and NBER sub-category from 1981 to 2015."
OUTMND,Monthly disposal,The monthly_disposal dataset contains counts of application by disposal type for each monthly application cohort by NBER sub-category from 1981 to 2015.
ORDERS,Orders,This is one of three Orders intermediate files used to generate the four datasets are also available for download.
ORDCLS,Orders class,This is one of three Orders intermediate files used to generate the four datasets are also available for download.
ORDSBCL,Orders sub-class,This is one of three Orders intermediate files used to generate the four datasets are also available for download.
ECOPAIR,Patent examination research dataset (stata (.dta) and MS excel (.csv)),"Contains detailed information on more than 12.5 million publicly viewable patent applications filed with the USPTO along with more than 1 million PCT applications through June 2022. The data files include information on each application's characteristics, prosecution history, continuation history, claims of foreign priority, patent term adjustment history, publication history, and correspondence address information."
GZLST,Patent official gazettes listing,"Published each Tuesday, the Patent Official Gazette contains bibliographic (front page) information, a representative claim, and a drawing (if applicable) of each patent grant issued that week. Includes U.S. Patent and Trademark Office (USPTO) Notices which provide important information and changes in rules concerning both patents and trademarks."
PTAPPCLM,Patent and patent application Claims data (Stata (.dta) and MS Excel (.csv)),"Contains detailed information on claims from U.S. patents granted between January 1976 and December 2014 and U.S. patent applications published between March 15, 2001 and December 2014. The dataset is derived from the Patent Grant Full Text and Patent Application Full Text bulk data files. The Office of Chief Economist (OCE) applied a Python algorithm to identify individual claims as well as the dependency relationship between claims. From the parsed claims text, OCE created six data files containing individually-parsed claims, claim-level statistics, and document-level statistics, including newly-developed measures of patent scope."
ECOPATAI,The Artificial Intelligence Patent Dataset (Stata (.dta) and MS Excel (.tsv)),"Contains Artificial Intelligence Patent Landscape data classifying 13,244,037 granted patents and PGPubs published from 1976 through 2020 in eight AI component technologies using state-of-the art machine learning based models."
MOONSHOT,Cancer Moonshot data (MS excel (.csv)),"This curated dataset consists of 269,353 patent documents (published patent applications and granted patents) spanning the 1976 to 2016 period and is intended to help identify promising R&D on the horizon in diagnostics, therapeutics, data analytics, and model biological systems."
TRASECO,Trademark assignment economics data (stata (.dta) and MS excel (.csv)),Contains detailed information on 1.19 million assignments and other transactions recorded at the USPTO between 1952 and 2022 and involving 2.16 million unique trademark properties. For more information:  https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets
TRTDXFAP,Trademark daily XML file (TDXF) applications,"Trademark Applications:  Pending and registered trademark text data (no images) to include word mark, serial number, registration number, filing date, registration date, goods and services, classification number(s), status code(s), design search code(s), pseudo mark(s) in CY2022. The file format is eXtensible Markup Language (XML) in accordance with the U.S. Trademark Assignments Version 2.0 Document Type Definition (DTD)."
TRTYRAP,Trademark annual XML applications,"Contains (backfile) pending and registered trademark text data (no images) to include word mark, serial number, registration number, filing date, registration date, goods and services, classification number(s), status code(s), design search code(s), pseudo mark(s) from (APR 1884 - DEC 2022). The file format is eXtensible Markup Language (XML) in accordance with the U.S. Trademark Applications Version 2.0 Document Type Definition (DTD)."
TTABTDXF,Trademark daily XML file (TDXF) trademark trial and appeal board (TTAB),Trademark Trial and Appeal Board (TTAB):  TTAB text data (no images) in CY2023. The file format is eXtensible Markup Language (XML) in accordance with the U.S. Trademark Trial and Appeal Board Version 1.0 Document Type Definition (DTD).
TTABYR,Trademark annual XML TTAB,"Contains (backfile) Trademark Trial and Appeal Board text data (OCT 2, 1951 - DEC 31, 2022). The file format is eXtensible Markup Language (XML) in accordance with the U.S. Trademark Trial and Appeal Board Version 1.0 Document Type Definition (DTD)."
TRTDXFAG,Trademark daily XML file (TDXF) assignments,Trademark Assignments:  Assignment text data (no images) in CY2023. The file format is eXtensible Markup Language (XML) in accordance with the U.S. Trademark Assignments Version 0.4 Document Type Definition (DTD).
TRTYRAG,Trademark annual XML assignments,"Contains (backfile) Trademark Assignment text data (JAN 3, 1955 - DEC 31, 2022). The file format is eXtensible Markup Language (XML) in accordance with the U.S. Trademark Assignments Version 0.4 Document Type Definition (DTD)."
TR24BOX,Trademark 24 hour box and supplemental,"The USPTO Trademark Daily Application Image 24 Hour Box (XML/TIFF/JPEG) consists of two datasets: (A)  24 Hour Box file, hryymmdd.zip & (B)  24 Hour Box Supplemental file, hrsyymmdda.zip, with optional files, hrsyymmddb.zip, hrsyymmddc.zip, etc. (A)  The 24 Hour Box zipfile contains images of daily Trademark applications in either JPG format (black and white, grayscale, or color) or TIFF format (black and white) processed through the Trademark Image Capture and Retrieval System (TICRS) and viewable using any standard image viewer. (B)  The 24 Hour Box Supplemental zipfile(s) contain Trademark cropped TIFF (black and white) or cropped JPG (color) image files from paper submissions of Trademark applications."
TRCFECO2,Trademark case file economics data (stata (.dta) and MS excel (.csv)),Contains detailed information on 11.6 million trademark applications filed with or registrations issued by the USPTO between 1870 and February 2022. For more information:  https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets
